""	"Gene"	"Annotation"	"Molecular Weight"	"Isoelectric Point"	"ProteinType"	"NumberOfDomains"	"Location SUBAcon"	"Location GFP"	"Location Mass Spec"
"2"	"AT1G01240.1"	"protein of unknown function"	37513.5	9.01555	"membrane protein"	"1"	"mitochondrion"	NA	NA
"27"	"AT1G04280.1"	"protein of unknown function"	59980.6	6.44535	"membrane protein"	"2"	"mitochondrion"	NA	"mitochondrion:21841088;mitochondrion:27943495;plasma membrane:19334764"
"34"	"AT1G04985.1"	"protein of unknown function"	21925.7	11.5689	"membrane protein"	"2"	"mitochondrion"	NA	"mitochondrion:27943495"
"36"	"AT1G05060.1"	"protein of unknown function"	27839.3	10.025	"membrane protein"	"1"	"mitochondrion"	NA	"mitochondrion:27943495"
"39"	"AT1G05270.1"	"putative TraB-type protein of unknown function"	40744	4.63181	"membrane protein"	"3"	"mitochondrion"	NA	"mitochondrion:21841088;mitochondrion:27943495;mitochondrion:21896887;plasma membrane:19334764"
"45"	"AT1G06010.1"	"protein of unknown function"	8692.43	4.48173	"membrane protein"	"1"	"mitochondrion"	NA	"mitochondrion:27943495"
"46"	"AT1G06050.1"	"protein of unknown function"	34852.4	5.27128	"membrane protein"	"1"	"mitochondrion"	NA	"mitochondrion:21841088"
"53"	"AT1G06530.1"	"putative PMD1-like protein of unknown function (AtPMD2)"	36121.3	4.46344	"membrane protein"	"1"	"mitochondrion"	NA	"golgi:25900983;golgi:25900983;golgi:25900983;mitochondrion:11743115;mitochondrion:14671022;mitochondrion:21472856;mitochondrion:21841088;mitochondrion:22923678;mitochondrion:27122571;mitochondrion:27943495;mitochondrion:21896887;plasma membrane:19334764;unclear:16618929;vacuole:17151019;vacuole:25900983"
"60"	"AT1G06750.1"	"protein of unknown function"	59095.4	9.23407	"membrane protein"	"3"	"mitochondrion"	"mitochondrion:21515817"	NA
"98"	"AT1G10150.1"	"putative PhloemProtein2-type protein of unknown function (AtPP2-A10)"	45520.2	7.82915	"membrane protein"	"4"	"mitochondrion"	NA	NA
"102"	"AT1G11170.1"	"protein of unknown function"	50649.7	10.4238	"membrane protein"	"1"	"mitochondrion,golgi"	NA	NA
"110"	"AT1G11940.1"	"putative membrane protein of unknown function"	44418.5	9.45056	"membrane protein"	"1"	"mitochondrion"	NA	"golgi:22430844"
"139"	"AT1G14990.1"	"protein of unknown function"	13763.3	7.37491	"membrane protein"	"1"	"mitochondrion"	NA	"mitochondrion:27943495"
"140"	"AT1G15010.1"	"protein of unknown function"	16460.2	9.32633	"membrane protein"	"1"	"mitochondrion"	NA	NA
"149"	"AT1G16000.1"	"putative outer envelope protein of unknown function (AtOEP9)"	9290.12	10.3628	"membrane protein"	"1"	"mitochondrion"	NA	"mitochondrion:27943495"
"153"	"AT1G16830.1"	"protein of unknown function, contains pentatricopeptide (PPR) repeats"	69672.9	8.76073	"membrane protein"	"1"	"mitochondrion"	NA	NA
"193"	"AT1G21920.1"	"protein of unknown function, involved in flowering regulation (AtMRF1)"	46518.4	9.78665	"membrane protein"	"2"	"mitochondrion"	NA	NA
"202"	"AT1G22882.1"	"putative mid-SUN-type protein of unknown function (AtSUN3)"	74188.4	4.82957	"membrane protein"	"3"	"mitochondrion,plastid"	NA	"plastid:24872594"
"219"	"AT1G24267.1"	"protein of unknown function"	36681.8	10.0657	"membrane protein"	"1"	"mitochondrion"	NA	"mitochondrion:27943495;mitochondrion:21896887"
