""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"1"	"AT1G01170.1"	"At1g01170"	"putative mitochondrial respiratory chain complex IV subunit (AtCoxX2-2)"	"membrane protein"	"1"
"2"	"AT1G01240.1"	"At1g01240"	"protein of unknown function"	"membrane protein"	"1"
"3"	"AT1G01290.1"	"At1g01290"	"putative molybdopterin biosynthesis cyclic pyranopterin monophosphate synthase (AtCNX3)"	"soluble or peripheral protein"	"0"
"4"	"AT1G01970.1"	"At1g01970"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"5"	"AT1G01990.1"	"At1g01990"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"6"	"AT1G02050.1"	"At1g02050"	"putative type-III polyketide synthase, LESS ADHESIVE POLLEN (AtPKSa/AtLAP6)"	"soluble or peripheral protein"	"0"
"7"	"AT1G02160.1"	"At1g02160"	"putative Cox19-like cytochrome c oxidase assembly protein"	"soluble or peripheral protein"	"0"
"8"	"AT1G02270.1"	"At1g02270"	"putative magnesium-dependent nuclease/phosphatase"	"soluble or peripheral protein"	"0"
"9"	"AT1G02370.1"	"At1g02370"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"10"	"AT1G02390.1"	"At1g02390"	"putative glycerol-3-phosphate acyltransferase (AtGPAT2)"	"membrane protein"	"6"
"11"	"AT1G02410.1"	"At1g02410"	"putative cytochrome oxidase assembly protein (AtCOX11)"	"membrane protein"	"1"
"12"	"AT1G02700.1"	"At1g02700"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"13"	"AT1G02820.1"	"At1g02820"	"putative LEA class-6/group-LEA_3 protein of unknown function (AtLEA6-3/AtLEA3.3)"	"soluble or peripheral protein"	"0"
"14"	"AT1G02870.1"	"At1g02870"	"putative nucleolar ribosome large subunit assembly factor (AtNOP16)"	"soluble or peripheral protein"	"0"
"15"	"AT1G02890.1"	"At1g02890"	"putative AAA-type ATPase associated with unknown cellular activities"	"soluble or peripheral protein"	"0"
"16"	"AT1G03090.1"	"At1g03090"	"putative subunit-A of 3-methylcrotonyl-CoA carboxylase complex (AtMCC-A)"	"soluble or peripheral protein"	"0"
"17"	"AT1G03100.1"	"At1g03100"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"18"	"AT1G03106.1"	"At1g03106"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"19"	"AT1G03360.1"	"At1g03360"	"putative (yeast Rrp4)-like component of exosome complex"	"soluble or peripheral protein"	"0"
"20"	"AT1G03380.1"	"At1g03380"	"putative component of autophagy membrane shuttling ATG9-2-18 complex (AtATG18g)"	"soluble or peripheral protein"	"0"
"21"	"AT1G03520.1"	"At1g03520"	"putative beta-1,6-N-acetylglucosaminyltransferase"	"membrane protein"	"3"
"22"	"AT1G03540.1"	"At1g03540"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"23"	"AT1G03560.1"	"At1g03560"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"24"	"AT1G03860.1"	"At1g03860"	"putative type-I (yeast Prohibitin)-like chaperone protein (AtPHB2)"	"soluble or peripheral protein"	"0"
"25"	"AT1G03990.1"	"At1g03990"	"putative FAD-dependent GMC-type oxidoreductase"	"membrane protein"	"5"
"26"	"AT1G04070.1"	"At1g04070"	"mitochondrial outer membrane translocase component (AtTOM9-1/AtTOM22-1)"	"membrane protein"	"1"
"27"	"AT1G04280.1"	"At1g04280"	"protein of unknown function"	"membrane protein"	"2"
"28"	"AT1G04590.1"	"At1g04590"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"29"	"AT1G04625.1"	"At1g04625"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"30"	"AT1G04630.1"	"At1g04630"	"putative component B16.6/NDUFA13/GRIM19 of NADH dehydrogenase alpha subcomplex (AtB16.6-1)"	"membrane protein"	"1"
"31"	"AT1G04640.1"	"At1g04640"	"putative mitochondrial octanoyltransferase (AtLIP2)"	"soluble or peripheral protein"	"0"
"32"	"AT1G04670.1"	"At1g04670"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"33"	"AT1G04900.1"	"At1g04900"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"34"	"AT1G04985.1"	"At1g04985"	"protein of unknown function"	"membrane protein"	"2"
"35"	"AT1G05030.1"	"At1g05030"	"putative SGB/GlcT-type hexose transporter"	"membrane protein"	"12"
"36"	"AT1G05060.1"	"At1g05060"	"protein of unknown function"	"membrane protein"	"1"
"37"	"AT1G05100.1"	"At1g05100"	"putative MEKK-type MAPKK kinase (AtMAPKKK18)"	"soluble or peripheral protein"	"0"
"38"	"AT1G05170.1"	"At1g05170"	"putative beta-1,3-galactosyltransferase (AtB3GALT2)"	"membrane protein"	"1"
"39"	"AT1G05270.1"	"At1g05270"	"putative TraB-type protein of unknown function"	"membrane protein"	"3"
"40"	"AT1G05430.1"	"At1g05430"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"41"	"AT1G05540.1"	"At1g05540"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"42"	"AT1G05600.1"	"At1g05600"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"43"	"AT1G05670.1"	"At1g05670"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"44"	"AT1G05680.1"	"At1g05680"	"putative indole-3-butyric acid glycosyltransferase (AtUGT74E2)"	"soluble or peripheral protein"	"0"
"45"	"AT1G06010.1"	"At1g06010"	"protein of unknown function"	"membrane protein"	"1"
"46"	"AT1G06050.1"	"At1g06050"	"protein of unknown function"	"membrane protein"	"1"
"47"	"AT1G06130.1"	"At1g06130"	"putative type-II glyoxalase (AtGLX2-4/AtGLYII1/AtGLXII;4)"	"soluble or peripheral protein"	"0"
"48"	"AT1G06140.1"	"At1g06140"	"putative mitochondrial RNA editing factor (AtMEF3)"	"soluble or peripheral protein"	"0"
"49"	"AT1G06240.1"	"At1g06240"	"putative oxidoreductase"	"soluble or peripheral protein"	"0"
"50"	"AT1G06270.1"	"At1g06270"	"putative mitochondrial intron splicing factor (AtMID1)"	"soluble or peripheral protein"	"0"
"51"	"AT1G06440.1"	"At1g06440"	"putative RNA intron splicing factor"	"soluble or peripheral protein"	"0"
"52"	"AT1G06520.1"	"At1g06520"	"membrane-bound glycerol-3-phosphate acyltransferase (AtGPAT1)"	"membrane protein"	"5"
"53"	"AT1G06530.1"	"At1g06530"	"putative PMD1-like protein of unknown function (AtPMD2)"	"membrane protein"	"1"
"54"	"AT1G06560.1"	"At1g06560"	"putative RNA methyltransferase"	"soluble or peripheral protein"	"0"
"55"	"AT1G06570.1"	"At1g06570"	"putative 4-hydroxyphenylpyruvate dioxygenase (AtHPPD/AtPDS1)"	"soluble or peripheral protein"	"0"
"56"	"AT1G06580.1"	"At1g06580"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"57"	"AT1G06590.1"	"At1g06590"	"putative APC5-like component of APC/C E3 ubiquitin ligase complex (AtAPC5)"	"soluble or peripheral protein"	"0"
"58"	"AT1G06660.1"	"At1g06660"	"putative male meiosis regulator protein, JASON (AtJAS)"	"soluble or peripheral protein"	"0"
"59"	"AT1G06710.1"	"At1g06710"	"putative mitochondrial mRNA stability factor (AtMTSF1)"	"soluble or peripheral protein"	"0"
"60"	"AT1G06750.1"	"At1g06750"	"protein of unknown function"	"membrane protein"	"3"
"61"	"AT1G06810.1"	"At1g06810"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"62"	"AT1G06870.1"	"At1g06870"	"putative thylakoidal processing peptidase (AtTPP2)"	"soluble or peripheral protein"	"0"
"63"	"AT1G06920.1"	"At1g06920"	"putative OVATE-type transcription repressor (AtOFP4)"	"soluble or peripheral protein"	"0"
"64"	"AT1G06923.1"	"At1g06923"	"putative OVATE-type transcription repressor (AtOFP20)"	"soluble or peripheral protein"	"0"
"65"	"AT1G07025.1"	"At1g07025"	"putative mitochondrial carrier-type membrane protein"	"soluble or peripheral protein"	"0"
"66"	"AT1G07030.1"	"At1g07030"	"putative MtcC MIT-type iron transporter (AtMIT2)"	"membrane protein"	"6"
"67"	"AT1G07060.1"	"At1g07060"	"putative accessory protein involved in meiotic double strand break (AtDFO)"	"soluble or peripheral protein"	"0"
"68"	"AT1G07180.1"	"At1g07180"	"putative alternative NADPH/NADH-dependent dehydrogenase (AtNDA1)"	"soluble or peripheral protein"	"0"
"69"	"AT1G07210.1"	"At1g07210"	"putative component bS18M of small subunit of mitochondrial ribosome (AtmtRPS18)"	"soluble or peripheral protein"	"0"
"70"	"AT1G07300.1"	"At1g07300"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"71"	"AT1G07510.1"	"At1g07510"	"ATP-dependent metalloprotease (AtFtsH10)"	"membrane protein"	"3"
"72"	"AT1G07590.1"	"At1g07590"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"73"	"AT1G07615.1"	"At1g07615"	"putative (bacteria Obg)-like GTPase (AtObgA-1)"	"soluble or peripheral protein"	"0"
"74"	"AT1G07740.1"	"At1g07740"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"75"	"AT1G07830.1"	"At1g07830"	"putative component uL29M of large subunit of mitochondrial ribosome (AtmtRPL29)"	"soluble or peripheral protein"	"0"
"76"	"AT1G07900.1"	"At1g07900"	"putative ASL/LBD-type transcription factor (AtASL8/AtLBD1)"	"soluble or peripheral protein"	"0"
"77"	"AT1G08032.1"	"At1g08032"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"78"	"AT1G08130.1"	"At1g08130"	"putative ATP-dependent DNA ligase (AtLIG1)"	"soluble or peripheral protein"	"0"
"79"	"AT1G08220.1"	"At1g08220"	"putative ATP-synthase biogenesis chaperone (AtATP10)"	"soluble or peripheral protein"	"0"
"80"	"AT1G08315.1"	"At1g08315"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"81"	"AT1G08480.1"	"At1g08480"	"putative component of mitochondrial respiratory chain complex II (AtSDH6)"	"membrane protein"	"2"
"82"	"AT1G08845.1"	"At1g08845"	"putative uL18-like component of large subunit of mitochondrial...(AtU18-L5/AtHES)"	"soluble or peripheral protein"	"0"
"83"	"AT1G09195.1"	"At1g09195"	"putative Ppx/GppA-like phosphatase"	"soluble or peripheral protein"	"0"
"84"	"AT1G09220.1"	"At1g09220"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"85"	"AT1G09300.1"	"At1g09300"	"putative mitochondrial intermediate peptidase (AtICP55a/AtICP55)"	"soluble or peripheral protein"	"0"
"86"	"AT1G09320.1"	"At1g09320"	"putative histone H3K9 methylation reader protein (AtAGDP1/AtADCP1)"	"soluble or peripheral protein"	"0"
"87"	"AT1G09400.1"	"At1g09400"	"oxophytodienoic acid reductase (AtOPR6)"	"soluble or peripheral protein"	"0"
"88"	"AT1G09410.1"	"At1g09410"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"89"	"AT1G09575.1"	"At1g09575"	"putative channel component of MCUC calcium uniporter complex (AtMCU1)"	"membrane protein"	"2"
"90"	"AT1G09645.1"	"At1g09645"	"putative membrane protein of unknown function"	"soluble or peripheral protein"	"0"
"91"	"AT1G09680.1"	"At1g09680"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"92"	"AT1G09720.1"	"At1g09720"	"putative NET-type actin-membrane nexus protein (AtNET2B)"	"soluble or peripheral protein"	"0"
"93"	"AT1G09820.1"	"At1g09820"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"94"	"AT1G09980.1"	"At1g09980"	"putative hydrolase"	"soluble or peripheral protein"	"0"
"95"	"AT1G10000.1"	"At1g10000"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"96"	"AT1G10060.1"	"At1g10060"	"branched-chain amino acid aminotransferase (AtBCAT-1)"	"soluble or peripheral protein"	"0"
"97"	"AT1G10140.1"	"At1g10140"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"98"	"AT1G10150.1"	"At1g10150"	"putative PhloemProtein2-type protein of unknown function (AtPP2-A10)"	"membrane protein"	"4"
"99"	"AT1G10270.1"	"At1g10270"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
